,activity_year,lei,derived_msa-md,state_code,county_code,census_tract,conforming_loan_limit,derived_loan_product_type,derived_dwelling_category,derived_ethnicity,derived_race,derived_sex,action_taken,purchaser_type,preapproval,loan_type,loan_purpose,lien_status,reverse_mortgage,open-end_line_of_credit,business_or_commercial_purpose,loan_amount,loan_to_value_ratio,interest_rate,rate_spread,hoepa_status,total_loan_costs,total_points_and_fees,origination_charges,discount_points,lender_credits,loan_term,prepayment_penalty_term,intro_rate_period,negative_amortization,interest_only_payment,balloon_payment,other_nonamortizing_features,property_value,construction_method,occupancy_type,manufactured_home_secured_property_type,manufactured_home_land_property_interest,total_units,multifamily_affordable_units,income,debt_to_income_ratio,applicant_credit_score_type,co-applicant_credit_score_type,applicant_ethnicity-1,applicant_ethnicity-2,applicant_ethnicity-3,applicant_ethnicity-4,applicant_ethnicity-5,co-applicant_ethnicity-1,co-applicant_ethnicity-2,co-applicant_ethnicity-3,co-applicant_ethnicity-4,co-applicant_ethnicity-5,applicant_ethnicity_observed,co-applicant_ethnicity_observed,applicant_race-1,applicant_race-2,applicant_race-3,applicant_race-4,applicant_race-5,co-applicant_race-1,co-applicant_race-2,co-applicant_race-3,co-applicant_race-4,co-applicant_race-5,applicant_race_observed,co-applicant_race_observed,applicant_sex,co-applicant_sex,applicant_sex_observed,co-applicant_sex_observed,applicant_age,co-applicant_age,co-applicant_age_above_62,submission_of_application,initially_payable_to_institution,aus-1,aus-2,aus-3,aus-4,aus-5,denial_reason-1,denial_reason-2,denial_reason-3,denial_reason-4,tract_population,tract_minority_population_percent,ffiec_msa_md_median_family_income,tract_to_msa_income_percentage,tract_owner_occupied_units,tract_one_to_four_family_homes,tract_median_age_of_housing_units,simplified_applicant_age_above_62,state_simplified,loant_type,debt_to_income_ratio2
2985,2021,RVDPPPGHCGZ40J4VQ731,36084.0,CA,6013.0,6013345115.0,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Race Not Available,Female,Loan Originated,Fannie Mae,Preapproval not requested,1,Refinancing,Secured by a first lien,Not a reverse mortgage,Not an open-end line of credit,Not primarily for a business or commercial purpose,415000.0,42.14,2.875,0.075,Not a high-cost mortgage,2095.66,,969.0,,3052.5,360.0,,,No negative amortization,No interest-only payments,No balloon payment,No other non-fully amortizing features,995000.0,Site-built,Principal residence,3.0,5.0,1.0,,109.0,30%-<36%,FICO Risk Score Classic 04,No co-applicant,Not Hispanic or Latino,,,,,Other Hispanic or Latino,,,,,Not collected on the basis of visual observation or surname,No co-applicant,Info not provided by applicant in mail internet or telephone appplication,,,,,No co-applicant,,,,,Not collected on the basis of visual observation or surname,No co-applicant,Female,No co-applicant,Not collected on the basis of visual observation or surname,No co-applicant,70.0,,,2.0,1.0,1.0,,,,,Not applicable,,,,5897,45.75,125600,190,1440.0,1753.0,25,1.0,0,Conventional,0.32
4005,2021,RVDPPPGHCGZ40J4VQ731,31084.0,CA,6037.0,6037320100.0,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Joint,Joint,Loan Originated,Fannie Mae,Preapproval not requested,1,Cash-out refinancing,Secured by a first lien,Not a reverse mortgage,Not an open-end line of credit,Not primarily for a business or commercial purpose,315000.0,68.89,2.875,-0.023,Not a high-cost mortgage,2106.7,,1174.0,,3735.5,348.0,,,No negative amortization,No interest-only payments,No balloon payment,No other non-fully amortizing features,455000.0,Site-built,Principal residence,3.0,5.0,1.0,,,,Not Applicable,Equifax Beacon 5.0,Not Hispanic or Latino,,,,,Not Hispanic or Latino,,,,,Not collected on the basis of visual observation or surname,Not collected on the basis of visual observation or surname,American Inidian or Alaska Native,,,,,White,,,,,Not collected on the basis of visual observation or surname,Not collected on the basis of visual observation or surname,Male,Female,Not collected on the basis of visual observation or surname,Not collected on the basis of visual observation or surname,60.0,60.0,No,1.0,1.0,1.0,,,,,Not applicable,,,,7828,94.9,80000,101,1212.0,1678.0,58,1.0,0,Conventional,
2507,2021,D38AC76TAMYI50NBPX33,46060.0,AZ,4019.0,4019001100.0,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,Loan Originated,Not applicable,Preapproval not requested,1,Home purchase,Secured by a first lien,Not a reverse mortgage,Not an open-end line of credit,Primarily for a business or commercial purpose,265000.0,65.0,4.5,,Not a high-cost mortgage,,,,,,360.0,,,No negative amortization,No interest-only payments,No balloon payment,No other non-fully amortizing features,415000.0,Site-built,Investment Property,3.0,5.0,3.0,,113.0,37,Experian Fair Isaac,No co-applicant,Not Hispanic or Latino,,,,,Other Hispanic or Latino,,,,,Not applicable,No co-applicant,White,,,,,No co-applicant,,,,,Not applicable,No co-applicant,Male,No co-applicant,Not applicable,No co-applicant,60.0,,,1.0,1.0,6.0,,,,,Not applicable,,,,2873,87.43,68600,62,611.0,1040.0,47,0.0,1,Conventional,0.37
69,2021,54930034MNPILHP25H80,38060.0,AZ,4013.0,4013114401.0,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,White,Female,Loan Originated,Fannie Mae,Preapproval not requested,1,Cash-out refinancing,Secured by a first lien,Not a reverse mortgage,Not an open-end line of credit,Not primarily for a business or commercial purpose,175000.0,70.0,3.75,0.796,Not a high-cost mortgage,2824.25,,1330.0,,,360.0,,,No negative amortization,No interest-only payments,No balloon payment,No other non-fully amortizing features,255000.0,Site-built,Principal residence,3.0,5.0,1.0,,31.0,30%-<36%,Equifax Beacon 5.0,No co-applicant,Hispanic or Latino,11.0,,,,Other Hispanic or Latino,,,,,Not collected on the basis of visual observation or surname,No co-applicant,White,,,,,No co-applicant,,,,,Not collected on the basis of visual observation or surname,No co-applicant,Female,No co-applicant,Not collected on the basis of visual observation or surname,No co-applicant,60.0,,,1.0,1.0,1.0,,,,,Not applicable,,,,2121,90.38,79000,36,327.0,605.0,64,0.0,1,Conventional,0.32
1137,2021,549300TF1E42EUFBSL45,31084.0,CA,6037.0,6037703002.0,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Black or African American,Male,Application approved but not accepted,Not applicable,Preapproval not requested,1,Cash-out refinancing,Secured by a first lien,Not a reverse mortgage,Not an open-end line of credit,Not primarily for a business or commercial purpose,735000.0,48.8,2.875,-0.137,Not applicable,,,,,,360.0,,,No negative amortization,No interest-only payments,No balloon payment,No other non-fully amortizing features,1055000.0,Site-built,Principal residence,3.0,5.0,1.0,,298.0,40,Equifax Beacon 5.0,Not Applicable,Not Hispanic or Latino,,,,,Not Hispanic or Latino,,,,,Not collected on the basis of visual observation or surname,Not collected on the basis of visual observation or surname,Black or African American,,,,,Black or African American,,,,,Not collected on the basis of visual observation or surname,Not collected on the basis of visual observation or surname,Male,Male,Not collected on the basis of visual observation or surname,Not collected on the basis of visual observation or surname,70.0,78.0,Yes,1.0,1.0,1.0,,,,,Not applicable,,,,7769,87.48999999999998,80000,197,2206.0,2823.0,56,1.0,0,Conventional,0.4
1326,2021,FT6J43S06X6CLJ0R0B48,40140.0,CA,6065.0,6065042412.0,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Asian,Female,Loan Originated,Not applicable,Preapproval not requested,1,Home purchase,Secured by a first lien,Not a reverse mortgage,Not an open-end line of credit,Not primarily for a business or commercial purpose,275000.0,51.51,4.125,0.361,Not a high-cost mortgage,4731.21,,880.0,,,1.0,,36.0,No negative amortization,No interest-only payments,No balloon payment,No other non-fully amortizing features,535000.0,Site-built,Principal residence,3.0,5.0,1.0,,,,Equifax Beacon 5.0,No co-applicant,Not Hispanic or Latino,,,,,Other Hispanic or Latino,,,,,Not collected on the basis of visual observation or surname,No co-applicant,Chinese,,,,,No co-applicant,,,,,Not collected on the basis of visual observation or surname,No co-applicant,Female,No co-applicant,Not collected on the basis of visual observation or surname,No co-applicant,50.0,,,1.0,1.0,6.0,,,,,Not applicable,,,,5395,53.1,77500,147,1379.0,1576.0,27,0.0,0,Conventional,
2764,2021,D38AC76TAMYI50NBPX33,38060.0,AZ,4013.0,4013216843.0,C,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,Loan Originated,Not applicable,Preapproval not requested,1,Home improvement,Secured by a subordinate lien,Not a reverse mortgage,Open-end line of credit,Not primarily for a business or commercial purpose,275000.0,79.97,4.0,,Not a high-cost mortgage,,,,,,300.0,,,No negative amortization,Interest-only payment,No balloon payment,No other non-fully amortizing features,885000.0,Site-built,Second residence,3.0,5.0,1.0,,358.0,38,Equifax Beacon 5.0,No co-applicant,Not Hispanic or Latino,,,,,Other Hispanic or Latino,,,,,Not applicable,No co-applicant,White,,,,,No co-applicant,,,,,Not applicable,No co-applicant,Male,No co-applicant,Not applicable,No co-applicant,50.0,,,1.0,1.0,6.0,,,,,Not applicable,,,,3086,8.13,79000,202,1315.0,2286.0,19,0.0,1,Conventional,0.38
2314,2021,D38AC76TAMYI50NBPX33,46060.0,AZ,4019.0,4019004638.0,NC,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Female,Loan Originated,Not applicable,Preapproval not requested,1,Home purchase,Secured by a first lien,Not a reverse mortgage,Not an open-end line of credit,Not primarily for a business or commercial purpose,565000.0,79.78,3.625,0.763,Not a high-cost mortgage,16341.85,,11590.85,,,378.0,,,No negative amortization,Interest-only payment,No balloon payment,No other non-fully amortizing features,705000.0,Site-built,Principal residence,3.0,5.0,1.0,,267.0,30%-<36%,FICO Risk Score Classic 04,Experian Fair Isaac,Info not provided by applicant in mail internet or telephone appplication,,,,,Info not provided by applicant in mail internet or telephone appplication,,,,,Not applicable,Not applicable,Info not provided by applicant in mail internet or telephone appplication,,,,,Info not provided by applicant in mail internet or telephone appplication,,,,,Not applicable,Not applicable,Female,Information not provided by applicant in mail internet or telephone application,Not applicable,Not applicable,50.0,50.0,No,1.0,1.0,6.0,,,,,Not applicable,,,,10693,21.3,68600,149,3337.0,4507.0,11,0.0,1,Conventional,0.32
122,2021,54930034MNPILHP25H80,49740.0,AZ,4027.0,4027001001.0,C,Conventional:First Lien,Single Family (1-4 Units):Manufactured,Not Hispanic or Latino,White,Male,Loan Originated,Fannie Mae,Preapproval not requested,1,Home purchase,Secured by a first lien,Not a reverse mortgage,Not an open-end line of credit,Not primarily for a business or commercial purpose,125000.0,85.0,3.5,0.833,Not a high-cost mortgage,5292.83,,2983.08,1653.08,22.0,360.0,,,No negative amortization,No interest-only payments,No balloon payment,No other non-fully amortizing features,145000.0,Manufactured Home,Principal residence,1.0,1.0,1.0,,27.0,44,Experian Fair Isaac,No co-applicant,Not Hispanic or Latino,,,,,Other Hispanic or Latino,,,,,Not collected on the basis of visual observation or surname,No co-applicant,White,,,,,No co-applicant,,,,,Not collected on the basis of visual observation or surname,No co-applicant,Male,No co-applicant,Not collected on the basis of visual observation or surname,No co-applicant,60.0,,,1.0,1.0,1.0,,,,,Not applicable,,,,2556,24.61,51400,136,928.0,2023.0,31,1.0,1,Conventional,0.44
2309,2021,D38AC76TAMYI50NBPX33,43420.0,AZ,4003.0,4003000302.0,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,Loan Originated,Not applicable,Preapproval not requested,1,Home purchase,Secured by a first lien,Not a reverse mortgage,Not an open-end line of credit,Not primarily for a business or commercial purpose,265000.0,59.78,3.5,0.831,Not a high-cost mortgage,8785.0,,5200.0,,,372.0,,,No negative amortization,Interest-only payment,No balloon payment,No other non-fully amortizing features,435000.0,Site-built,Principal residence,3.0,5.0,1.0,,198.0,<20%,FICO Risk Score Classic 04,More than one credit scoring model,Not Hispanic or Latino,,,,,Not Hispanic or Latino,,,,,Not applicable,Not applicable,White,,,,,White,,,,,Not applicable,Not applicable,Male,Female,Not applicable,Not applicable,40.0,30.0,No,1.0,1.0,6.0,,,,,Not applicable,,,,4750,7.41,66900,101,1853.0,2482.0,18,0.0,1,Conventional,0.1
3997,2021,RVDPPPGHCGZ40J4VQ731,41740.0,CA,6073.0,6073019602.0,C,VA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,Loan Originated,Ginnie Mae,Preapproval not requested,3,Refinancing,Secured by a first lien,Not a reverse mortgage,Not an open-end line of credit,Not primarily for a business or commercial purpose,585000.0,92.34,2.25,-0.482,Not a high-cost mortgage,15855.01,,12527.82,6905.01,73.25,360.0,,,No negative amortization,No interest-only payments,No balloon payment,No other non-fully amortizing features,635000.0,Site-built,Principal residence,3.0,5.0,1.0,,,,FICO Risk Score Classic 04,No co-applicant,Not Hispanic or Latino,,,,,Other Hispanic or Latino,,,,,Not collected on the basis of visual observation or surname,No co-applicant,White,,,,,No co-applicant,,,,,Not collected on the basis of visual observation or surname,No co-applicant,Male,No co-applicant,Not collected on the basis of visual observation or surname,No co-applicant,40.0,,,1.0,1.0,6.0,,,,,Not applicable,,,,5108,47.24,95100,80,1069.0,1436.0,38,0.0,0,Veterans Affiars guaranteed VA,
950,2021,549300TF1E42EUFBSL45,42020.0,CA,6079.0,6079011300.0,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,Loan Originated,Not applicable,Preapproval not requested,1,Home purchase,Secured by a first lien,Not a reverse mortgage,Not an open-end line of credit,Primarily for a business or commercial purpose,545000.0,75.0,3.95,,Not applicable,,,,,,120.0,,,No negative amortization,No interest-only payments,Balloon payment,No other non-fully amortizing features,725000.0,Site-built,Investment Property,3.0,5.0,1.0,,,,Not Applicable,No co-applicant,Not Applicable,,,,,Other Hispanic or Latino,,,,,Not applicable,No co-applicant,Not Applicable,,,,,No co-applicant,,,,,Not applicable,No co-applicant,Not applicable,No co-applicant,Not applicable,No co-applicant,,,,1.0,1.0,6.0,,,,,Not applicable,,,,8092,37.12,97800,100,1340.0,2540.0,37,,0,Conventional,
1295,2021,FT6J43S06X6CLJ0R0B48,31084.0,CA,6037.0,6037481711.0,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Asian,Female,Loan Originated,Not applicable,Preapproval not requested,1,Home purchase,Secured by a first lien,Not a reverse mortgage,Not an open-end line of credit,Primarily for a business or commercial purpose,265000.0,60.0,4.375,,Not applicable,,,,,,1.0,,60.0,No negative amortization,No interest-only payments,No balloon payment,No other non-fully amortizing features,435000.0,Site-built,Investment Property,3.0,5.0,1.0,,,,Experian Fair Isaac,No co-applicant,Not Hispanic or Latino,,,,,Other Hispanic or Latino,,,,,Not collected on the basis of visual observation or surname,No co-applicant,Chinese,,,,,No co-applicant,,,,,Not collected on the basis of visual observation or surname,No co-applicant,Female,No co-applicant,Not collected on the basis of visual observation or surname,No co-applicant,40.0,,,1.0,1.0,6.0,,,,,Not applicable,,,,4467,97.11,80000,66,392.0,524.0,33,0.0,0,Conventional,
