conforming_loan_limit,derived_loan_product_type,derived_dwelling_category,preapproval,loant_type,loan_purpose,lien_status,reverse_mortgage,open-end_line_of_credit,business_or_commercial_purpose,loan_amount,loan_to_value_ratio,interest_rate,discount_points,lender_credits,loan_term,intro_rate_period,negative_amortization,interest_only_payment,balloon_payment,other_nonamortizing_features,property_value,construction_method,occupancy_type,manufactured_home_secured_property_type,manufactured_home_land_property_interest,total_units,income,debt_to_income_ratio,applicant_credit_score_type,Ethnicity
C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Preapproval not requested,Conventional,Cash-out refinancing,Secured by a first lien,Not a reverse mortgage,Not an open-end line of credit,Not primarily for a business or commercial purpose,285000.0,65.23,,,,240.0,,No negative amortization,No interest-only payments,No balloon payment,No other non-fully amortizing features,435000.0,Site-built,Principal residence,3.0,5.0,1.0,55.0,42,FICO Risk Score Classic 04,white
C,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Preapproval not requested,Conventional,Other purpose,Secured by a subordinate lien,Not a reverse mortgage,Not an open-end line of credit,Not primarily for a business or commercial purpose,125000.0,15.152,,,,180.0,,No negative amortization,No interest-only payments,No balloon payment,No other non-fully amortizing features,825000.0,Site-built,Principal residence,3.0,5.0,1.0,301.0,20%-<30%,Experian Fair Isaac,white
C,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Preapproval not requested,Conventional,Refinancing,Secured by a subordinate lien,Not a reverse mortgage,Open-end line of credit,Not primarily for a business or commercial purpose,155000.0,78.11,,,,360.0,1.0,No negative amortization,No interest-only payments,No balloon payment,No other non-fully amortizing features,595000.0,Site-built,Principal residence,3.0,5.0,1.0,249.0,43,Other credit scoring model,white
C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Preapproval not requested,Conventional,Refinancing,Secured by a first lien,Not a reverse mortgage,Not an open-end line of credit,Not primarily for a business or commercial purpose,375000.0,74.705,2.5,,5996.1,360.0,,No negative amortization,No interest-only payments,No balloon payment,No other non-fully amortizing features,505000.0,Site-built,Principal residence,3.0,5.0,1.0,94.0,40,Equifax Beacon 5.0,white
C,FHA:First Lien,Single Family (1-4 Units):Manufactured,Preapproval not requested,Federal Housing Administration FHA,Refinancing,Secured by a first lien,Not a reverse mortgage,Not an open-end line of credit,Not primarily for a business or commercial purpose,95000.0,48.506,2.75,,2076.9,360.0,,No negative amortization,No interest-only payments,No balloon payment,No other non-fully amortizing features,195000.0,Manufactured Home,Principal residence,1.0,1.0,1.0,0.0,<20%,Equifax Beacon 5.0,white
C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Preapproval not requested,Conventional,Refinancing,Secured by a first lien,Not a reverse mortgage,Not an open-end line of credit,Not primarily for a business or commercial purpose,295000.0,74.0,3.25,,,360.0,,No negative amortization,No interest-only payments,No balloon payment,No other non-fully amortizing features,395000.0,Site-built,Principal residence,3.0,5.0,1.0,62.0,37,FICO Risk Score Classic 04,white
C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Preapproval not requested,Conventional,Refinancing,Secured by a first lien,Not a reverse mortgage,Not an open-end line of credit,Not primarily for a business or commercial purpose,315000.0,89.875,2.875,3490.49,,286.0,,No negative amortization,No interest-only payments,No balloon payment,No other non-fully amortizing features,355000.0,Site-built,Principal residence,3.0,5.0,1.0,135.0,20%-<30%,Equifax Beacon 5.0,white
C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Preapproval not requested,Conventional,Refinancing,Secured by a first lien,Not a reverse mortgage,Not an open-end line of credit,Not primarily for a business or commercial purpose,265000.0,48.64,3.125,,,360.0,,No negative amortization,No interest-only payments,No balloon payment,No other non-fully amortizing features,555000.0,Site-built,Principal residence,3.0,5.0,1.0,109.0,49,Equifax Beacon 5.0,white
C,VA:First Lien,Single Family (1-4 Units):Site-Built,Preapproval not requested,Veterans Affiars guaranteed VA,Refinancing,Secured by a first lien,Not a reverse mortgage,Not an open-end line of credit,Not primarily for a business or commercial purpose,445000.0,88.6,2.375,132.9,,360.0,,No negative amortization,No interest-only payments,No balloon payment,No other non-fully amortizing features,505000.0,Site-built,Principal residence,3.0,5.0,1.0,,,Equifax Beacon 5.0,white
C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Preapproval not requested,Conventional,Cash-out refinancing,Secured by a first lien,Not a reverse mortgage,Not an open-end line of credit,Not primarily for a business or commercial purpose,195000.0,75.0,3.625,1130.89,,360.0,,No negative amortization,No interest-only payments,No balloon payment,No other non-fully amortizing features,265000.0,Site-built,Investment Property,3.0,5.0,1.0,221.0,39,Equifax Beacon 5.0,white
C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Preapproval not requested,Conventional,Home purchase,Secured by a first lien,Not a reverse mortgage,Not an open-end line of credit,Not primarily for a business or commercial purpose,275000.0,75.0,3.75,675.0,,360.0,,No negative amortization,No interest-only payments,No balloon payment,No other non-fully amortizing features,365000.0,Site-built,Investment Property,3.0,5.0,1.0,176.0,20%-<30%,FICO Risk Score Classic 04,white
C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Preapproval not requested,Conventional,Home purchase,Secured by a first lien,Not a reverse mortgage,Not an open-end line of credit,Not primarily for a business or commercial purpose,515000.0,95.0,,,,360.0,,No negative amortization,No interest-only payments,No balloon payment,No other non-fully amortizing features,545000.0,Site-built,Principal residence,3.0,5.0,1.0,65.0,>60%,Experian Fair Isaac,white
C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Preapproval not requested,Conventional,Refinancing,Secured by a first lien,Not a reverse mortgage,Not an open-end line of credit,Not primarily for a business or commercial purpose,85000.0,,3.25,,796.0,334.0,,No negative amortization,No interest-only payments,No balloon payment,No other non-fully amortizing features,,Site-built,Principal residence,3.0,5.0,1.0,88.0,<20%,FICO Risk Score Classic 04,white
C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Preapproval not requested,Conventional,Refinancing,Secured by a first lien,Not a reverse mortgage,Not an open-end line of credit,Not primarily for a business or commercial purpose,425000.0,58.26,1.99,7925.16,,180.0,,No negative amortization,No interest-only payments,No balloon payment,No other non-fully amortizing features,725000.0,Site-built,Principal residence,3.0,5.0,1.0,117.0,49,FICO Risk Score Classic 04,white
C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Preapproval not requested,Conventional,Home purchase,Secured by a first lien,Not a reverse mortgage,Not an open-end line of credit,Not primarily for a business or commercial purpose,545000.0,88.857,2.85,685.31,,360.0,,No negative amortization,No interest-only payments,No balloon payment,No other non-fully amortizing features,615000.0,Site-built,Principal residence,3.0,5.0,1.0,146.0,38,Equifax Beacon 5.0,white
C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Preapproval not requested,Conventional,Cash-out refinancing,Secured by a first lien,Not a reverse mortgage,Not an open-end line of credit,Not primarily for a business or commercial purpose,535000.0,80.0,2.875,,5536.06,360.0,,No negative amortization,No interest-only payments,No balloon payment,No other non-fully amortizing features,665000.0,Site-built,Principal residence,3.0,5.0,1.0,114.0,30%-<36%,Not Applicable,white
C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Preapproval not requested,Conventional,Refinancing,Secured by a first lien,Not a reverse mortgage,Not an open-end line of credit,Not primarily for a business or commercial purpose,155000.0,74.39,3.499,,1847.6,360.0,,No negative amortization,No interest-only payments,No balloon payment,No other non-fully amortizing features,205000.0,Site-built,Principal residence,3.0,5.0,1.0,46.0,36,Experian Fair Isaac,white
C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Preapproval not requested,Conventional,Other purpose,Secured by a first lien,Not a reverse mortgage,Not an open-end line of credit,Not primarily for a business or commercial purpose,75000.0,20.05,3.375,750.0,,360.0,,No negative amortization,No interest-only payments,No balloon payment,No other non-fully amortizing features,375000.0,Site-built,Principal residence,3.0,5.0,1.0,23.0,36,FICO Risk Score Classic 04,white
C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Preapproval not requested,Conventional,Cash-out refinancing,Secured by a first lien,Not a reverse mortgage,Not an open-end line of credit,Not primarily for a business or commercial purpose,305000.0,63.54,2.999,,,264.0,,No negative amortization,No interest-only payments,No balloon payment,No other non-fully amortizing features,485000.0,Site-built,Principal residence,3.0,5.0,1.0,80.0,30%-<36%,FICO Risk Score Classic 04,white
C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Preapproval not requested,Federal Housing Administration FHA,Refinancing,Secured by a first lien,Not a reverse mortgage,Not an open-end line of credit,Not primarily for a business or commercial purpose,185000.0,86.604,3.25,,2334.0,360.0,,No negative amortization,No interest-only payments,No balloon payment,No other non-fully amortizing features,215000.0,Site-built,Principal residence,3.0,5.0,1.0,,,More than one credit scoring model,white
